dataset;method;cls;nr_events;metric;score
bpic2015_1;state_laststate;svm;9;rec;0.0
bpic2015_1;state_laststate;svm;9;fscore;0.0
bpic2015_1;state_laststate;svm;10;auc;0.4516034127684613
bpic2015_1;state_laststate;svm;10;prec;1.0
bpic2015_1;state_laststate;svm;10;rec;0.030303030303030307
bpic2015_1;state_laststate;svm;10;fscore;0.05882352941176471
bpic2015_1;state_laststate;svm;11;auc;0.5357991681521094
bpic2015_1;state_laststate;svm;11;prec;0.0
bpic2015_1;state_laststate;svm;11;rec;0.0
bpic2015_1;state_laststate;svm;11;fscore;0.0
bpic2015_1;state_laststate;svm;12;auc;0.5813636363636363
bpic2015_1;state_laststate;svm;12;prec;0.0
bpic2015_1;state_laststate;svm;12;rec;0.0
bpic2015_1;state_laststate;svm;12;fscore;0.0
bpic2015_1;state_laststate;svm;13;auc;0.5845701917130488
bpic2015_1;state_laststate;svm;13;prec;0.0
bpic2015_1;state_laststate;svm;13;rec;0.0
bpic2015_1;state_laststate;svm;13;fscore;0.0
bpic2015_1;state_laststate;svm;14;auc;0.7227109807754969
bpic2015_1;state_laststate;svm;14;prec;1.0
bpic2015_1;state_laststate;svm;14;rec;0.12121212121212123
bpic2015_1;state_laststate;svm;14;fscore;0.21621621621621626
bpic2015_1;state_laststate;svm;15;auc;0.8199934123847168
bpic2015_1;state_laststate;svm;15;prec;0.8
bpic2015_1;state_laststate;svm;15;rec;0.24242424242424246
bpic2015_1;state_laststate;svm;15;fscore;0.37209302325581395
bpic2015_1;state_laststate;svm;16;auc;0.8558108558108559
bpic2015_1;state_laststate;svm;16;prec;0.8421052631578947
bpic2015_1;state_laststate;svm;16;rec;0.4848484848484849
bpic2015_1;state_laststate;svm;16;fscore;0.6153846153846154
bpic2015_1;state_laststate;svm;17;auc;0.9135864135864136
bpic2015_1;state_laststate;svm;17;prec;0.8
bpic2015_1;state_laststate;svm;17;rec;0.4848484848484849
bpic2015_1;state_laststate;svm;17;fscore;0.6037735849056605
bpic2015_1;state_laststate;svm;18;auc;0.9430096418732784
bpic2015_1;state_laststate;svm;18;prec;0.8888888888888888
bpic2015_1;state_laststate;svm;18;rec;0.7272727272727273
bpic2015_1;state_laststate;svm;18;fscore;0.7999999999999999
bpic2015_1;state_laststate;svm;19;auc;0.9331955922865014
bpic2015_1;state_laststate;svm;19;prec;0.8235294117647058
bpic2015_1;state_laststate;svm;19;rec;0.8484848484848485
bpic2015_1;state_laststate;svm;19;fscore;0.8358208955223881
bpic2015_1;state_laststate;svm;20;auc;0.9434267241379308
bpic2015_1;state_laststate;svm;20;prec;0.8275862068965517
bpic2015_1;state_laststate;svm;20;rec;0.75
bpic2015_1;state_laststate;svm;20;fscore;0.7868852459016394
bpic2015_1;state_laststate;svm;21;auc;0.9416307471264368
bpic2015_1;state_laststate;svm;21;prec;0.8275862068965517
bpic2015_1;state_laststate;svm;21;rec;0.75
bpic2015_1;state_laststate;svm;21;fscore;0.7868852459016394
bpic2015_1;state_laststate;svm;22;auc;0.9096623563218392
bpic2015_1;state_laststate;svm;22;prec;0.8076923076923077
bpic2015_1;state_laststate;svm;22;rec;0.65625
bpic2015_1;state_laststate;svm;22;fscore;0.7241379310344829
bpic2015_1;state_laststate;svm;23;auc;0.8811063218390804
bpic2015_1;state_laststate;svm;23;prec;0.8
bpic2015_1;state_laststate;svm;23;rec;0.625
bpic2015_1;state_laststate;svm;23;fscore;0.7017543859649122
bpic2015_1;state_laststate;svm;24;auc;0.8590158045977012
bpic2015_1;state_laststate;svm;24;prec;0.7826086956521741
